🕘️更新时间,#genre#
2025-01-30 06:27:36,http://z.b.bkpcp.top/m.php?id=cctv1$订阅源--1920x1080

📺央视频道,#genre#
CCTV-1,http://z.b.bkpcp.top/m.php?id=cctv1$订阅源--1920x1080
CCTV-1,http://219.145.93.74:9999/tsfile/live/0001_1.m3u8$订阅源--1920x1080
CCTV-1,http://221.2.148.205:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
CCTV-1,http://112.46.85.60:8009/hls/501/index.m3u8$订阅源--1920x1080
CCTV-1,http://123.182.60.29:9002/hls/1/index.m3u8$订阅源--1920x1080
CCTV-1,http://61.138.128.226:19901/tsfile/live/0001_1.m3u8$订阅源--1920x1080
CCTV-1,http://www.terrykang.xyz:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-1,http://dsm.huarunguoji.top:35455/gaoma/cctv1.m3u8$订阅源--1920x1080
CCTV-1,http://dsm.huarunguoji.top:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-1,http://117.144.58.42:35455/gaoma/cctv1.m3u8$订阅源--1920x1080
CCTV-2,http://z.b.bkpcp.top/m.php?id=cctv2$订阅源--1920x1080
CCTV-2,http://219.145.93.74:9999/tsfile/live/0002_1.m3u8$订阅源--1920x1080
CCTV-2,http://112.46.85.60:8009/hls/502/index.m3u8$订阅源--1920x1080
CCTV-2,http://123.182.60.29:9002/hls/2/index.m3u8$订阅源--1920x1080
CCTV-2,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8$订阅源--1920x1080
CCTV-2,http://www.terrykang.xyz:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-2,http://dsm.huarunguoji.top:35455/gaoma/cctv2.m3u8$订阅源--1920x1080
CCTV-2,http://dsm.huarunguoji.top:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-2,http://117.144.58.42:35455/gaoma/cctv2.m3u8$订阅源--1920x1080
CCTV-2,http://nmmp.asia:35455/gaoma/cctv2.m3u8$订阅源--1920x1080
CCTV-3,http://z.b.bkpcp.top/m.php?id=cctv3$订阅源--1920x1080
CCTV-3,http://183.255.10.90:6610/200000001898/460000089800010212/1.m3u8?IASHttpSessionId=OTT$订阅源--1920x1080
CCTV-3,http://219.145.93.74:9999/tsfile/live/0003_1.m3u8$订阅源--1920x1080
CCTV-3,http://221.2.148.205:8154/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
CCTV-3,http://112.46.85.60:8009/hls/3/index.m3u8$订阅源--1920x1080
CCTV-3,http://58.17.48.228:808/hls/3/index.m3u8$订阅源--1920x1080
CCTV-3,http://123.182.60.29:9002/hls/3/index.m3u8$订阅源--1920x1080
CCTV-3,http://61.138.128.226:19901/tsfile/live/0003_1.m3u8$订阅源--1920x1080
CCTV-3,http://www.terrykang.xyz:35455/itv/1000000005000265003.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-3,http://dsm.huarunguoji.top:35455/gaoma/cctv3.m3u8$订阅源--1920x1080
CCTV-4,http://z.b.bkpcp.top/m.php?id=cctv4$订阅源--1920x1080
CCTV-4,http://z.b.bkpcp.top/m.php?id=cctv4o$订阅源--1920x1080
CCTV-4,http://219.145.93.74:9999/tsfile/live/0004_1.m3u8$订阅源--1920x1080
CCTV-4,http://221.2.148.205:8154/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
CCTV-4,http://112.46.85.60:8009/hls/4/index.m3u8$订阅源--1920x1080
CCTV-4,http://123.182.60.29:9002/hls/4/index.m3u8$订阅源--1920x1080
CCTV-4,http://61.138.128.226:19901/tsfile/live/0004_1.m3u8$订阅源--1920x1080
CCTV-4,http://www.terrykang.xyz:35455/itv/1000000005000265004.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-4,http://dsm.huarunguoji.top:35455/gaoma/cctv4.m3u8$订阅源--1920x1080
CCTV-4,http://dsm.huarunguoji.top:35455/gaoma/cctv4k.m3u8$订阅源--1920x1080
CCTV-5,http://z.b.bkpcp.top/m.php?id=cctv5$订阅源--1920x1080
CCTV-5,http://219.145.93.74:9999/tsfile/live/0005_1.m3u8$订阅源--1920x1080
CCTV-5,http://221.2.148.205:8154/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
CCTV-5,http://112.46.85.60:8009/hls/503/index.m3u8$订阅源--1920x1080
CCTV-5,http://58.17.48.228:808/hls/5/index.m3u8$订阅源--1920x1080
CCTV-5,http://123.182.60.29:9002/hls/7/index.m3u8$订阅源--1920x1080
CCTV-5,http://61.138.128.226:19901/tsfile/live/0005_1.m3u8$订阅源--1920x1080
CCTV-5,http://www.terrykang.xyz:35455/itv/1000000005000265005.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-5,http://www.terrykang.xyz:35455/gaoma/cctv5.m3u8$订阅源--1920x1080
CCTV-5,http://dsm.huarunguoji.top:35455/gaoma/cctv5.m3u8$订阅源--1920x1080
CCTV-5+,http://z.b.bkpcp.top/m.php?id=cctv5p$订阅源--1920x1080
CCTV-5+,http://221.2.148.205:8154/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
CCTV-5+,http://123.182.60.29:9002/hls/17/index.m3u8$订阅源--1920x1080
CCTV-5+,http://61.138.128.226:19901/tsfile/live/1006_1.m3u8$订阅源--1920x1080
CCTV-5+,http://www.terrykang.xyz:35455/itv/1000000005000265016.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-5+,http://dsm.huarunguoji.top:35455/gaoma/cctv5p.m3u8$订阅源--1920x1080
CCTV-5+,http://dsm.huarunguoji.top:35455/itv/1000000005000265016.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-5+,http://117.144.58.42:35455/gaoma/cctv5p.m3u8$订阅源--1920x1080
CCTV-5+,http://1.itv.nctv.top:35455/gaoma/cctv5p.m3u8$订阅源--1920x1080
CCTV-5+,http://1.itv.nctv.top:35455/itv/1000000005000265016.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-6,http://z.b.bkpcp.top/m.php?id=cctv6$订阅源--1920x1080
CCTV-6,http://219.145.93.74:9999/tsfile/live/0006_1.m3u8$订阅源--1920x1080
CCTV-6,http://221.2.148.205:8154/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
CCTV-6,http://58.17.48.228:808/hls/6/index.m3u8$订阅源--1920x1080
CCTV-6,http://123.182.60.29:9002/hls/6/index.m3u8$订阅源--1920x1080
CCTV-6,http://61.138.128.226:19901/tsfile/live/0006_1.m3u8$订阅源--1920x1080
CCTV-6,http://www.terrykang.xyz:35455/itv/1000000005000265006.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-6,http://dsm.huarunguoji.top:35455/gaoma/cctv6.m3u8$订阅源--1920x1080
CCTV-6,http://dsm.huarunguoji.top:35455/itv/1000000005000265006.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-6,http://117.144.58.42:35455/gaoma/cctv6.m3u8$订阅源--1920x1080
CCTV-7,http://z.b.bkpcp.top/m.php?id=cctv7$订阅源--1920x1080
CCTV-7,http://219.145.93.74:9999/tsfile/live/0007_1.m3u8$订阅源--1920x1080
CCTV-7,http://221.2.148.205:8154/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
CCTV-7,http://112.46.85.60:8009/hls/504/index.m3u8$订阅源--1920x1080
CCTV-7,http://123.182.60.29:9002/hls/9/index.m3u8$订阅源--1920x1080
CCTV-7,http://61.138.128.226:19901/tsfile/live/0008_1.m3u8$订阅源--1920x1080
CCTV-7,http://www.terrykang.xyz:35455/itv/1000000005000265007.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-7,http://www.terrykang.xyz:35455/gaoma/cctv7.m3u8$订阅源--1920x1080
CCTV-7,http://dsm.huarunguoji.top:35455/gaoma/cctv7.m3u8$订阅源--1920x1080
CCTV-7,http://dsm.huarunguoji.top:35455/itv/1000000005000265007.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-8,http://z.b.bkpcp.top/m.php?id=cctv8$订阅源--1920x1080
CCTV-8,http://219.145.93.74:9999/tsfile/live/0008_1.m3u8$订阅源--1920x1080
CCTV-8,http://221.2.148.205:8154/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
CCTV-8,http://112.46.85.60:8009/hls/8/index.m3u8$订阅源--1920x1080
CCTV-8,http://58.17.48.228:808/hls/8/index.m3u8$订阅源--1920x1080
CCTV-8,http://123.182.60.29:9002/hls/8/index.m3u8$订阅源--1920x1080
CCTV-8,http://61.138.128.226:19901/tsfile/live/0009_1.m3u8$订阅源--1920x1080
CCTV-8,http://www.terrykang.xyz:35455/itv/1000000005000265008.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-8,http://dsm.huarunguoji.top:35455/gaoma/cctv8.m3u8$订阅源--1920x1080
CCTV-8,http://dsm.huarunguoji.top:35455/gaoma/cctv8k_36m.m3u8$订阅源--1920x1080
CCTV-9,http://z.b.bkpcp.top/m.php?id=cctv9$订阅源--1920x1080
CCTV-9,http://219.145.93.74:9999/tsfile/live/0009_1.m3u8$订阅源--1920x1080
CCTV-9,http://221.2.148.205:8154/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
CCTV-9,http://112.46.85.60:8009/hls/509/index.m3u8$订阅源--1920x1080
CCTV-9,http://58.17.48.228:808/hls/9/index.m3u8$订阅源--1920x1080
CCTV-9,http://123.182.60.29:9002/hls/51/index.m3u8$订阅源--1920x1080
CCTV-9,http://61.138.128.226:19901/tsfile/live/0009_2.m3u8$订阅源--1920x1080
CCTV-9,http://www.terrykang.xyz:35455/itv/1000000005000265009.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-9,http://dsm.huarunguoji.top:35455/gaoma/cctv9.m3u8$订阅源--1920x1080
CCTV-9,http://dsm.huarunguoji.top:35455/itv/1000000005000265009.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-10,http://z.b.bkpcp.top/m.php?id=cctv10$订阅源--1920x1080
CCTV-10,http://219.145.93.74:9999/tsfile/live/0010_1.m3u8$订阅源--1920x1080
CCTV-10,http://221.2.148.205:8154/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
CCTV-10,http://58.17.48.228:808/hls/10/index.m3u8$订阅源--1920x1080
CCTV-10,http://123.182.60.29:9002/hls/10/index.m3u8$订阅源--1920x1080
CCTV-10,http://61.138.128.226:19901/tsfile/live/0011_1.m3u8$订阅源--1920x1080
CCTV-10,http://www.terrykang.xyz:35455/itv/1000000005000265010.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-10,http://dsm.huarunguoji.top:35455/gaoma/cctv10.m3u8$订阅源--1920x1080
CCTV-10,http://dsm.huarunguoji.top:35455/itv/1000000005000265010.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-10,http://117.144.58.42:35455/gaoma/cctv10.m3u8$订阅源--1920x1080
CCTV-11,http://z.b.bkpcp.top/m.php?id=cctv11$订阅源--1920x1080
CCTV-11,http://219.145.93.74:9999/tsfile/live/0011_1.m3u8$订阅源--1920x1080
CCTV-11,http://221.2.148.205:8154/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
CCTV-11,http://111.61.236.247:9081/hls/11/index.m3u8$订阅源--1920x1080
CCTV-11,http://123.182.60.29:9002/hls/11/index.m3u8$订阅源--1920x1080
CCTV-11,http://61.138.128.226:19901/tsfile/live/0011_2.m3u8$订阅源--1920x1080
CCTV-11,http://www.terrykang.xyz:35455/itv/1000000005000265011.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-11,http://dsm.huarunguoji.top:35455/gaoma/cctv11.m3u8$订阅源--1920x1080
CCTV-11,http://dsm.huarunguoji.top:35455/itv/1000000005000265011.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-11,http://117.144.58.42:35455/gaoma/cctv11.m3u8$订阅源--1920x1080
CCTV-12,http://z.b.bkpcp.top/m.php?id=cctv12$订阅源--1920x1080
CCTV-12,http://219.145.93.74:9999/tsfile/live/0012_1.m3u8$订阅源--1920x1080
CCTV-12,http://221.2.148.205:8154/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
CCTV-12,http://112.46.85.60:8009/hls/507/index.m3u8$订阅源--1920x1080
CCTV-12,http://123.182.60.29:9002/hls/12/index.m3u8$订阅源--1920x1080
CCTV-12,http://61.138.128.226:19901/tsfile/live/0013_1.m3u8$订阅源--1920x1080
CCTV-12,http://www.terrykang.xyz:35455/itv/1000000005000265012.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-12,http://dsm.huarunguoji.top:35455/gaoma/cctv12.m3u8$订阅源--1920x1080
CCTV-12,http://dsm.huarunguoji.top:35455/itv/1000000005000265012.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-12,http://117.144.58.42:35455/gaoma/cctv12.m3u8$订阅源--1920x1080
CCTV-13,http://z.b.bkpcp.top/m.php?id=cctv13$订阅源--1920x1080
CCTV-13,http://219.145.93.74:9999/tsfile/live/0013_1.m3u8$订阅源--1920x1080
CCTV-13,http://221.2.148.205:8154/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
CCTV-13,http://123.182.60.29:9002/hls/13/index.m3u8$订阅源--1920x1080
CCTV-13,http://61.138.128.226:19901/tsfile/live/0013_2.m3u8$订阅源--1920x1080
CCTV-13,http://dsm.huarunguoji.top:35455/gaoma/cctv13.m3u8$订阅源--1920x1080
